"","adv_auto_lvl","adv_hum_lvl","par","adviser","trust"
"331",2,1,"131","auto",5
"332",1,2,"132","auto",3.33333333333333
"333",2,1,"133","auto",3.5
"334",1,1,"134","auto",3
"335",1,1,"135","auto",3
"336",1,2,"136","auto",3.33333333333333
"337",1,1,"137","auto",3
"338",2,2,"138","auto",3.16666666666667
"339",1,1,"139","auto",3.16666666666667
"340",1,1,"140","auto",3
"341",2,2,"141","auto",4.83333333333333
"342",2,2,"142","auto",4
"343",2,2,"143","auto",4
"344",1,2,"144","auto",4.16666666666667
"345",1,1,"145","auto",4.16666666666667
"346",2,1,"146","auto",5
"347",2,2,"147","auto",4
"348",2,1,"148","auto",4
"349",1,1,"149","auto",2.16666666666667
"350",1,2,"150","auto",2
"351",1,2,"151","auto",3
"352",2,1,"152","auto",3
"353",1,1,"153","auto",2.66666666666667
"354",2,1,"154","auto",5
"355",1,1,"155","auto",3.16666666666667
"356",1,2,"156","auto",4
"357",2,2,"157","auto",5
"358",1,1,"158","auto",3.16666666666667
"359",1,2,"159","auto",2.33333333333333
"360",2,1,"160","auto",4.83333333333333
"361",1,2,"161","auto",3.66666666666667
"362",1,1,"162","auto",2.66666666666667
"363",2,1,"163","auto",4
"364",2,2,"164","auto",3.83333333333333
"365",1,2,"165","auto",4.33333333333333
"366",2,1,"166","auto",4
"367",1,2,"167","auto",2.83333333333333
"368",2,2,"168","auto",4.33333333333333
"369",1,1,"169","auto",1.5
"370",2,2,"170","auto",5
"371",1,1,"171","auto",4
"372",2,1,"172","auto",5
"373",1,2,"173","auto",4.5
"374",2,1,"174","auto",3.83333333333333
"375",2,1,"175","auto",4.33333333333333
"376",2,2,"176","auto",5
"377",1,1,"177","auto",5
"378",1,2,"178","auto",3.16666666666667
"379",1,1,"179","auto",2
"380",2,2,"180","auto",3.33333333333333
"381",2,1,"181","auto",3.5
"382",1,2,"182","auto",4.5
"383",2,1,"183","auto",4.16666666666667
"384",2,2,"184","auto",4
"385",1,2,"185","auto",5
"386",1,2,"186","auto",3.33333333333333
"387",2,2,"187","auto",4
"388",2,1,"188","auto",2
"389",1,1,"189","auto",4
"390",2,2,"190","auto",4
"391",1,2,"191","auto",4.66666666666667
"392",1,1,"192","auto",4.5
"393",1,2,"193","auto",4.5
"394",2,1,"194","auto",5
"395",2,2,"195","auto",5
"396",1,1,"196","auto",3.5
"397",1,1,"197","auto",3
"398",2,1,"198","auto",4
"399",1,2,"199","auto",2
"400",2,2,"200","auto",3.16666666666667
